Source,Mediated,Target
DLS C1-C2,R C2 Radikulopati,Nackbesvär
DLS C1-C2,R C2 Radikulopati,Huvudvärk
DLS C1-C2,R C2 Radikulopati,Munbesvär
DLS C1-C2,R C2 Radikulopati,Pannhuvudvärk
DLS C1-C2,R C2 Radikulopati,Svalgbesvär
DLS C1-C2,R C2 Radikulopati,R Nackbesvär
DLS C1-C2,R C2 Radikulopati,R Ögonbesvär
DLS C1-C2,R C2 Radikulopati,R Öronbesvär
DLS C1-C2,R C2 Radikulopati,R Pannhuvudvärk
DLS C1-C2,R C2 Radikulopati,R Käkbesvär
DLS C2-C3,L C3 Radikulopati,Nackbesvär
DLS C2-C3,R C3 Radikulopati,Nackbesvär
DLS C2-C3,L C3 Radikulopati,Munbesvär
DLS C2-C3,R C3 Radikulopati,Munbesvär
DLS C2-C3,L C3 Radikulopati,Pannhuvudvärk
DLS C2-C3,R C3 Radikulopati,Pannhuvudvärk
DLS C2-C3,L C3 Radikulopati,Svalgbesvär
DLS C2-C3,R C3 Radikulopati,Svalgbesvär
DLS C2-C3,R C3 Radikulopati,R Nackbesvär
DLS C2-C3,R C3 Radikulopati,R Pannhuvudvärk
DLS C2-C3,R C3 Radikulopati,R Käkbesvär
DLS C2-C3,L C3 Radikulopati,Bakhuvudvärk
DLS C2-C3,R C3 Radikulopati,Bakhuvudvärk
DLS C2-C3,L C3 Radikulopati,L Central bröstsmärta
DLS C2-C3,R C3 Radikulopati,R Bakhuvudvärk
DLS C2-C3,R C3 Radikulopati,R Nyckelbensbesvär
DLS C2-C3,R C3 Radikulopati,Central bröstsmärta
DLS C3-C4,L C4 Radikulopati,L Nackbesvär
DLS C3-C4,L C4 Radikulopati,Nackbesvär
DLS C3-C4,R C4 Radikulopati,Nackbesvär
DLS C3-C4,R C4 Radikulopati,R Nackbesvär
DLS C3-C4,L C4 Radikulopati,L Central bröstsmärta
DLS C3-C4,R C4 Radikulopati,R Nyckelbensbesvär
DLS C3-C4,R C4 Radikulopati,Central bröstsmärta
DLS C3-C4,L C4 Radikulopati,L Nyckelbensbesvär
DLS C3-C4,L C4 Radikulopati,L Axelbesvär
DLS C3-C4,L C4 Radikulopati,L Skulderbesvär
DLS C3-C4,R C4 Radikulopati,R Främre Axelbesvär
DLS C3-C4,R C4 Radikulopati,R Axel impingement
DLS C3-C4,R C4 Radikulopati,R Axelbesvär
DLS C3-C4,R C4 Radikulopati,R Skulderbesvär
DLS C4-C5,L C5 Radikulopati,Nackbesvär
DLS C4-C5,R C5 Radikulopati,Nackbesvär
DLS C4-C5,R C5 Radikulopati,R Nackbesvär
DLS C4-C5,L C5 Radikulopati,L Skulderbesvär
DLS C4-C5,R C5 Radikulopati,R Främre Axelbesvär
DLS C4-C5,R C5 Radikulopati,R Axel impingement
DLS C4-C5,R C5 Radikulopati,R Axelbesvär
DLS C4-C5,R C5 Radikulopati,R Skulderbesvär
DLS C4-C5,L C5 Radikulopati,Interskapulära besvär
DLS C4-C5,R C5 Radikulopati,Interskapulära besvär
DLS C4-C5,L C5 Radikulopati,L Interskapulära besvär
DLS C4-C5,R C5 Radikulopati,R Interskapulära besvär
DLS C4-C5,R C5 Radikulopati,R Laterala armbågsbesvär
DLS C4-C5,R C5 Radikulopati,R Armbågsbesvär
DLS C5-C6,L C6 Radikulopati,L Nackbesvär
DLS C5-C6,L C6 Radikulopati,Nackbesvär
DLS C5-C6,R C6 Radikulopati,Nackbesvär
DLS C5-C6,R C6 Radikulopati,R Nackbesvär
DLS C5-C6,L C6 Radikulopati,L Axelbesvär
DLS C5-C6,L C6 Radikulopati,L Skulderbesvär
DLS C5-C6,R C6 Radikulopati,R Främre Axelbesvär
DLS C5-C6,R C6 Radikulopati,R Axel impingement
DLS C5-C6,R C6 Radikulopati,R Axelbesvär
DLS C5-C6,R C6 Radikulopati,R Skulderbesvär
DLS C5-C6,L C6 Radikulopati,Interskapulära besvär
DLS C5-C6,R C6 Radikulopati,Interskapulära besvär
DLS C5-C6,L C6 Radikulopati,L Interskapulära besvär
DLS C5-C6,R C6 Radikulopati,R Interskapulära besvär
DLS C5-C6,R C6 Radikulopati,R Laterala armbågsbesvär
DLS C5-C6,R C6 Radikulopati,R Armbågsbesvär
DLS C5-C6,L C6 Radikulopati,L Laterala armbågsbesvär
DLS C5-C6,L C6 Radikulopati,L Tumbesvär
DLS C5-C6,L C6 Radikulopati,L Handledsbesvär
DLS C5-C6,R C6 Radikulopati,R Tumbesvär
DLS C5-C6,R C6 Radikulopati,R Handledsbesvär
DLS C5-C6,R C6 Radikulopati,R Under armsbesvär
DLS C5-C6,R C6 Radikulopati,R Handbesvär
DLS C5-C6,R C6 Radikulopati,R Armbesvär
DLS C5-C6,R C6 Radikulopati,R Armvecksbesvär
DLS C6-C7,L C7 Radikulopati,L Nackbesvär
DLS C6-C7,L C7 Radikulopati,Nackbesvär
DLS C6-C7,R C7 Radikulopati,Nackbesvär
DLS C6-C7,R C7 Radikulopati,R Nackbesvär
DLS C6-C7,L C7 Radikulopati,L Skulderbesvär
DLS C6-C7,R C7 Radikulopati,R Axelbesvär
DLS C6-C7,R C7 Radikulopati,R Skulderbesvär
DLS C6-C7,R C7 Radikulopati,R Armbågsbesvär
DLS C6-C7,R C7 Radikulopati,R Handledsbesvär
DLS C6-C7,R C7 Radikulopati,R Under armsbesvär
DLS C6-C7,R C7 Radikulopati,R Handbesvär
DLS C6-C7,R C7 Radikulopati,R Armbesvär
DLS C6-C7,R C7 Radikulopati,R Armvecksbesvär
DLS C6-C7,R C7 Radikulopati,R Mediala armbågsbesvär
DLS C6-C7,R C7 Radikulopati,R Fingerbesvär
DLS C7-C8,L C8 Radikulopati,L Axelbesvär
DLS C7-C8,L C8 Radikulopati,L Skulderbesvär
DLS C7-C8,R C8 Radikulopati,R Axelbesvär
DLS C7-C8,R C8 Radikulopati,R Skulderbesvär
DLS C7-C8,R C8 Radikulopati,R Armbågsbesvär
DLS C7-C8,R C8 Radikulopati,R Under armsbesvär
DLS C7-C8,R C8 Radikulopati,R Handbesvär
DLS C7-C8,R C8 Radikulopati,R Armbesvär
DLS C7-C8,R C8 Radikulopati,R Armvecksbesvär
DLS C7-C8,R C8 Radikulopati,R Mediala armbågsbesvär
DLS C7-C8,R C8 Radikulopati,R Fingerbesvär
DLS C7-C8,R C8 Radikulopati,R Lillfingerbesvär
DLS C8-T1,R T1 Radikulopati,R Armbesvär
DLS C8-T1,R T1 Radikulopati,R Armvecksbesvär
DLS C8-T1,R T1 Radikulopati,Bröstryggsbesvär
DLS T1-T2,R T2 Radikulopati,Bröstryggsbesvär
DLS T2-T3,L T3 Radikulopati,Bröstryggsbesvär
DLS T2-T3,R T3 Radikulopati,Bröstryggsbesvär
DLS T2-T3,L T3 Radikulopati,Bröstbesvär
DLS T2-T3,R T3 Radikulopati,Bröstbesvär
DLS T2-T3,L T3 Radikulopati,Torakal Dysfunktion
DLS T2-T3,R T3 Radikulopati,Torakal Dysfunktion
DLS T2-T3,R T3 Radikulopati,R Bröstbesvär
DLS T3-T4,L T4 Radikulopati,Bröstryggsbesvär
DLS T3-T4,R T4 Radikulopati,Bröstryggsbesvär
DLS T3-T4,L T4 Radikulopati,Bröstbesvär
DLS T3-T4,R T4 Radikulopati,Bröstbesvär
DLS T3-T4,L T4 Radikulopati,Torakal Dysfunktion
DLS T3-T4,R T4 Radikulopati,Torakal Dysfunktion
DLS T3-T4,R T4 Radikulopati,R Bröstbesvär
DLS T3-T4,L T4 Radikulopati,L Bröstbesvär
DLS T4-T5,R T5 Radikulopati,Bröstryggsbesvär
DLS T4-T5,L T5 Radikulopati,Bröstbesvär
DLS T4-T5,R T5 Radikulopati,Bröstbesvär
DLS T4-T5,R T5 Radikulopati,Torakal Dysfunktion
DLS T4-T5,R T5 Radikulopati,R Bröstbesvär
DLS T4-T5,L T5 Radikulopati,L Bröstbesvär
DLS T5-T6,L T6 Radikulopati,Bröstryggsbesvär
DLS T5-T6,R T6 Radikulopati,Bröstryggsbesvär
DLS T5-T6,L T6 Radikulopati,Torakal Dysfunktion
DLS T5-T6,R T6 Radikulopati,Torakal Dysfunktion
DLS T5-T6,L T6 Radikulopati,Övre bukbesvär
DLS T5-T6,R T6 Radikulopati,Övre bukbesvär
DLS T5-T6,L T6 Radikulopati,Laterala bukbesvär
DLS T6-T7,L T7 Radikulopati,Bröstryggsbesvär
DLS T6-T7,R T7 Radikulopati,Bröstryggsbesvär
DLS T6-T7,L T7 Radikulopati,Torakal Dysfunktion
DLS T6-T7,R T7 Radikulopati,Torakal Dysfunktion
DLS T6-T7,L T7 Radikulopati,Övre bukbesvär
DLS T6-T7,R T7 Radikulopati,Övre bukbesvär
DLS T6-T7,L T7 Radikulopati,Laterala bukbesvär
DLS T6-T7,L T7 Radikulopati,Bukbesvär
DLS T7-T8,L T8 Radikulopati,Bröstryggsbesvär
DLS T7-T8,R T8 Radikulopati,Bröstryggsbesvär
DLS T7-T8,L T8 Radikulopati,Övre bukbesvär
DLS T7-T8,R T8 Radikulopati,Övre bukbesvär
DLS T7-T8,L T8 Radikulopati,Laterala bukbesvär
DLS T8-T9,R T9 Radikulopati,Bröstryggsbesvär
DLS T8-T9,L T9 Radikulopati,Laterala bukbesvär
DLS T8-T9,L T9 Radikulopati,L Nedre bukbesvär
DLS T8-T9,L T9 Radikulopati,Nedre bukbesvär
DLS T8-T9,R T9 Radikulopati,Nedre bukbesvär
DLS T9-T10,R T10 Radikulopati,Bröstryggsbesvär
DLS T9-T10,L T10 Radikulopati,Laterala bukbesvär
DLS T9-T10,L T10 Radikulopati,L Nedre bukbesvär
DLS T9-T10,L T10 Radikulopati,Nedre bukbesvär
DLS T9-T10,R T10 Radikulopati,Nedre bukbesvär
DLS T10-T11,L T11 Radikulopati,Laterala bukbesvär
DLS T10-T11,L T11 Radikulopati,Bukbesvär
DLS T10-T11,L T11 Radikulopati,L Nedre bukbesvär
DLS T10-T11,L T11 Radikulopati,Nedre bukbesvär
DLS T10-T11,R T11 Radikulopati,Nedre bukbesvär
DLS T11-T12,L T12 Radikulopati,Laterala bukbesvär
DLS T11-T12,L T12 Radikulopati,Bukbesvär
DLS T11-T12,R T12 Radikulopati,Bukbesvär
DLS T11-T12,L T12 Radikulopati,L Nedre bukbesvär
DLS T11-T12,L T12 Radikulopati,Nedre bukbesvär
DLS T11-T12,R T12 Radikulopati,Nedre bukbesvär
DLS T12-L1,L L1 Radikulopati,Laterala bukbesvär
DLS T12-L1,R L1 Radikulopati,Bukbesvär
DLS T12-L1,L L1 Radikulopati,L Nedre bukbesvär
DLS T12-L1,L L1 Radikulopati,Nedre bukbesvär
DLS T12-L1,L L1 Radikulopati,L Ljumskbesvär
DLS T12-L1,L L1 Radikulopati,L Mediala ljumskbesvär
DLS T12-L1,L L1 Radikulopati,L Laterala ljumskbesvär
DLS T12-L1,L L1 Radikulopati,Centrala Ljumskbesvär
DLS T12-L1,R L1 Radikulopati,Centrala Ljumskbesvär
DLS T12-L1,L L1 Radikulopati,L Adduktortendalgi
DLS T12-L1,R L1 Radikulopati,R Laterala ljumskbesvär
DLS T12-L1,R L1 Radikulopati,R Ljumskbesvär
DLS T12-L1,R L1 Radikulopati,R Adduktortendalgi
DLS L1-L2,L L2 Radikulopati,Laterala bukbesvär
DLS L1-L2,L L2 Radikulopati,L Nedre bukbesvär
DLS L1-L2,L L2 Radikulopati,Nedre bukbesvär
DLS L1-L2,R L2 Radikulopati,Nedre bukbesvär
DLS L1-L2,L L2 Radikulopati,L Ljumskbesvär
DLS L1-L2,L L2 Radikulopati,L Mediala ljumskbesvär
DLS L1-L2,L L2 Radikulopati,L Laterala ljumskbesvär
DLS L1-L2,L L2 Radikulopati,Centrala Ljumskbesvär
DLS L1-L2,R L2 Radikulopati,Centrala Ljumskbesvär
DLS L1-L2,L L2 Radikulopati,L Adduktortendalgi
DLS L1-L2,R L2 Radikulopati,R Laterala ljumskbesvär
DLS L1-L2,R L2 Radikulopati,R Ljumskbesvär
DLS L1-L2,R L2 Radikulopati,R Adduktortendalgi
DLS L1-L2,L L2 Radikulopati,L Höftbesvär
DLS L1-L2,L L2 Radikulopati,L Lumbago
DLS L1-L2,L L2 Radikulopati,Lumbago
DLS L1-L2,R L2 Radikulopati,Ryggsbesvär
DLS L1-L2,R L2 Radikulopati,R Lumbago
DLS L2-L3,L L3 Radikulopati,L Höftbesvär
DLS L2-L3,L L3 Radikulopati,L Lumbago
DLS L2-L3,L L3 Radikulopati,Lumbago
DLS L2-L3,R L3 Radikulopati,Ryggsbesvär
DLS L2-L3,R L3 Radikulopati,R Lumbago
DLS L2-L3,L L3 Radikulopati,L Främre lårbesvär
DLS L2-L3,L L3 Radikulopati,L Benbesvär
DLS L2-L3,L L3 Radikulopati,L Lårbesvär
DLS L2-L3,R L3 Radikulopati,R Främre lårbesvär
DLS L2-L3,R L3 Radikulopati,R Lårbesvär
DLS L2-L3,R L3 Radikulopati,R Benbesvär
DLS L3-L4,L L4 Radikulopati,L Lumbago
DLS L3-L4,L L4 Radikulopati,Lumbago
DLS L3-L4,R L4 Radikulopati,Ryggsbesvär
DLS L3-L4,R L4 Radikulopati,R Lumbago
DLS L3-L4,L L4 Radikulopati,L Främre lårbesvär
DLS L3-L4,L L4 Radikulopati,L Benbesvär
DLS L3-L4,L L4 Radikulopati,L Lårbesvär
DLS L3-L4,R L4 Radikulopati,R Främre lårbesvär
DLS L3-L4,R L4 Radikulopati,R Lårbesvär
DLS L3-L4,R L4 Radikulopati,R Benbesvär
DLS L3-L4,L L4 Radikulopati,L PFS
DLS L3-L4,L L4 Radikulopati,L Höftkamsbesvär
DLS L3-L4,L L4 Radikulopati,L Mediala knäledsbesvär
DLS L3-L4,L L4 Radikulopati,L Laterala vadbesvär
DLS L3-L4,L L4 Radikulopati,L Knäbesvär
DLS L3-L4,R L4 Radikulopati,R PFS
DLS L3-L4,R L4 Radikulopati,R Mediala vadbesvär
DLS L3-L4,R L4 Radikulopati,R Höftbesvär
DLS L3-L4,R L4 Radikulopati,R Höftkamsbesvär
DLS L3-L4,R L4 Radikulopati,R Mediala knäledsbesvär
DLS L3-L4,R L4 Radikulopati,R Tibiaperialgi
DLS L3-L4,R L4 Radikulopati,R Knäbesvär
DLS L4-L5,L L5 Radikulopati,L Lumbago
DLS L4-L5,L L5 Radikulopati,Lumbago
DLS L4-L5,R L5 Radikulopati,Ryggsbesvär
DLS L4-L5,R L5 Radikulopati,R Lumbago
DLS L4-L5,L L5 Radikulopati,L Benbesvär
DLS L4-L5,L L5 Radikulopati,L Lårbesvär
DLS L4-L5,R L5 Radikulopati,R Lårbesvär
DLS L4-L5,R L5 Radikulopati,R Benbesvär
DLS L4-L5,L L5 Radikulopati,L PFS
DLS L4-L5,L L5 Radikulopati,L Höftkamsbesvär
DLS L4-L5,L L5 Radikulopati,L Mediala knäledsbesvär
DLS L4-L5,L L5 Radikulopati,L Laterala vadbesvär
DLS L4-L5,L L5 Radikulopati,L Knäbesvär
DLS L4-L5,R L5 Radikulopati,R PFS
DLS L4-L5,R L5 Radikulopati,R Höftbesvär
DLS L4-L5,R L5 Radikulopati,R Höftkamsbesvär
DLS L4-L5,R L5 Radikulopati,R Mediala knäledsbesvär
DLS L4-L5,R L5 Radikulopati,R Tibiaperialgi
DLS L4-L5,R L5 Radikulopati,R Knäbesvär
DLS L4-L5,L L5 Radikulopati,L Tåledbesvär
DLS L4-L5,L L5 Radikulopati,L Stortårbesvär
DLS L4-L5,L L5 Radikulopati,L Fotbesvär
DLS L4-L5,L L5 Radikulopati,L Fotledsbesvär
DLS L4-L5,L L5 Radikulopati,L Fotvalvsbesvär
DLS L4-L5,L L5 Radikulopati,L Ischias
DLS L4-L5,L L5 Radikulopati,L Skinkbesvär
DLS L4-L5,L L5 Radikulopati,L Vadbesvär
DLS L4-L5,R L5 Radikulopati,R Främre knäbesvär
DLS L4-L5,R L5 Radikulopati,R Stortårbesvär
DLS L4-L5,R L5 Radikulopati,R Fotledsbesvär
DLS L4-L5,R L5 Radikulopati,R Fotvalvsbesvär
DLS L4-L5,R L5 Radikulopati,R Tåledbesvär
DLS L4-L5,R L5 Radikulopati,R Ischias
DLS L4-L5,R L5 Radikulopati,R Skinkbesvär
DLS L4-L5,R L5 Radikulopati,R Fotbesvär
DLS L4-L5,R L5 Radikulopati,R Vadbesvär
DLS L5-S1,R S1 Radikulopati,R Adduktortendalgi
DLS L5-S1,L S1 Radikulopati,L Lumbago
DLS L5-S1,L S1 Radikulopati,Lumbago
DLS L5-S1,R S1 Radikulopati,Ryggsbesvär
DLS L5-S1,R S1 Radikulopati,R Lumbago
DLS L5-S1,L S1 Radikulopati,L Benbesvär
DLS L5-S1,L S1 Radikulopati,L Lårbesvär
DLS L5-S1,R S1 Radikulopati,R Lårbesvär
DLS L5-S1,R S1 Radikulopati,R Benbesvär
DLS L5-S1,L S1 Radikulopati,L Laterala vadbesvär
DLS L5-S1,L S1 Radikulopati,L Knäbesvär
DLS L5-S1,R S1 Radikulopati,R Knäbesvär
DLS L5-S1,L S1 Radikulopati,L Ischias
DLS L5-S1,L S1 Radikulopati,L Skinkbesvär
DLS L5-S1,L S1 Radikulopati,L Vadbesvär
DLS L5-S1,R S1 Radikulopati,R Ischias
DLS L5-S1,R S1 Radikulopati,R Skinkbesvär
DLS L5-S1,R S1 Radikulopati,R Fotbesvär
DLS L5-S1,R S1 Radikulopati,R Vadbesvär
DLS L5-S1,L S1 Radikulopati,L Dorsala knäledsbesvär
DLS L5-S1,L S1 Radikulopati,L Laterala knäbesvär
DLS L5-S1,L S1 Radikulopati,L Lilltåbesvär
DLS L5-S1,L S1 Radikulopati,L Laterala Fotbesvär
DLS L5-S1,L S1 Radikulopati,Hälbesvär
DLS L5-S1,R S1 Radikulopati,Hälbesvär
DLS L5-S1,L S1 Radikulopati,L Hälbesvär
DLS L5-S1,L S1 Radikulopati,L Bakre lårbesvär
DLS L5-S1,L S1 Radikulopati,L Achillesbesvär
DLS L5-S1,L S1 Radikulopati,L Achillestendalgi
DLS L5-S1,L S1 Radikulopati,L Achillodyni
DLS L5-S1,R S1 Radikulopati,R Tårbesvär
DLS L5-S1,R S1 Radikulopati,R Dorsala knäledsbesvär
DLS L5-S1,R S1 Radikulopati,R Laterala knäbesvär
DLS L5-S1,R S1 Radikulopati,R Laterala Fotbesvär
DLS L5-S1,R S1 Radikulopati,R Hälbesvär
DLS L5-S1,R S1 Radikulopati,R Bakre lårbesvär
DLS L5-S1,R S1 Radikulopati,R Achillesbesvär
DLS L5-S1,R S1 Radikulopati,R Achillestendalgi
DLS L5-S1,R S1 Radikulopati,R Achillodyni
DLS S1-S2,L S2 Radikulopati,L Adduktortendalgi
DLS S1-S2,R S2 Radikulopati,R Adduktortendalgi
DLS S1-S2,L S2 Radikulopati,L Ischias
DLS S1-S2,R S2 Radikulopati,R Ischias
Kraniocervikal ledskada,L C2 Radikulopati,L Nackbesvär
Kraniocervikal ledskada,L C4 Radikulopati,L Nackbesvär
Kraniocervikal ledskada,L C2 Radikulopati,Nackbesvär
Kraniocervikal ledskada,L C4 Radikulopati,Nackbesvär
Kraniocervikal ledskada,R C2 Radikulopati,Nackbesvär
Kraniocervikal ledskada,R C3 Radikulopati,Nackbesvär
Kraniocervikal ledskada,R C4 Radikulopati,Nackbesvär
Kraniocervikal ledskada,L C2 Radikulopati,Huvudvärk
Kraniocervikal ledskada,R C2 Radikulopati,Huvudvärk
Kraniocervikal ledskada,L C2 Radikulopati,L Käkbesvär
Kraniocervikal ledskada,L C2 Radikulopati,Munbesvär
Kraniocervikal ledskada,R C2 Radikulopati,Munbesvär
Kraniocervikal ledskada,R C3 Radikulopati,Munbesvär
Kraniocervikal ledskada,L C2 Radikulopati,Pannhuvudvärk
Kraniocervikal ledskada,R C2 Radikulopati,Pannhuvudvärk
Kraniocervikal ledskada,R C3 Radikulopati,Pannhuvudvärk
Kraniocervikal ledskada,L C2 Radikulopati,Svalgbesvär
Kraniocervikal ledskada,R C2 Radikulopati,Svalgbesvär
Kraniocervikal ledskada,R C3 Radikulopati,Svalgbesvär
Kraniocervikal ledskada,R C2 Radikulopati,R Nackbesvär
Kraniocervikal ledskada,R C3 Radikulopati,R Nackbesvär
Kraniocervikal ledskada,R C4 Radikulopati,R Nackbesvär
Kraniocervikal ledskada,R C2 Radikulopati,R Ögonbesvär
Kraniocervikal ledskada,R C2 Radikulopati,R Öronbesvär
Kraniocervikal ledskada,R C2 Radikulopati,R Pannhuvudvärk
Kraniocervikal ledskada,R C3 Radikulopati,R Pannhuvudvärk
Kraniocervikal ledskada,R C2 Radikulopati,R Käkbesvär
Kraniocervikal ledskada,R C3 Radikulopati,R Käkbesvär
Kraniocervikal ledskada,R C3 Radikulopati,Bakhuvudvärk
Kraniocervikal ledskada,L C4 Radikulopati,L Central bröstsmärta
Kraniocervikal ledskada,R C3 Radikulopati,R Bakhuvudvärk
Kraniocervikal ledskada,R C3 Radikulopati,R Nyckelbensbesvär
Kraniocervikal ledskada,R C4 Radikulopati,R Nyckelbensbesvär
Kraniocervikal ledskada,R C3 Radikulopati,Central bröstsmärta
Kraniocervikal ledskada,R C4 Radikulopati,Central bröstsmärta
Kraniocervikal ledskada,L C4 Radikulopati,L Nyckelbensbesvär
Kraniocervikal ledskada,L C4 Radikulopati,L Axelbesvär
Kraniocervikal ledskada,L C4 Radikulopati,L Skulderbesvär
Kraniocervikal ledskada,R C4 Radikulopati,R Främre Axelbesvär
Kraniocervikal ledskada,R C4 Radikulopati,R Axel impingement
Kraniocervikal ledskada,R C4 Radikulopati,R Axelbesvär
Kraniocervikal ledskada,R C4 Radikulopati,R Skulderbesvär
